##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;Err:510;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;? = 0,64,0;;;;;;;;;;X
##;? = 0,0,192;;;;;;;;;;X
##;? = 128,0,0;;;;;;;;;;X
##;? = 255,255,0;;;;;;;;;;X
##;? = 255,0,255;;;;;;;;;;X
##;? = 255,128,0;;;;;;;;;;X
##;? = 0,100,0;;;;;;;;;;X
##;? = 128,128, 128;;;;;;;;;;X
##;? = 0,0,255;;;;;;;;;;X
##;? = 0,192,0;;;;;;;;;;X
##;? = 100,255,100;;;;;;;;;;X
##;? = 255,100,100;;;;;;;;;;X
##;? = 240,0,0;;;;;;;;;;X
##;? = 255,255,255;;;;;;;;;;X
##;? = 208,232,248;;;;;;;;;;X
##;? = 0,0,0;;;;;;;;;;X
##;Ё - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;========================;========================;========================;========================;========================;========================;========================;========================;;========================;X
DPERSONALITY_CIANO;吉安·加莱阿佐·齐亚诺是意大利外交部长，本尼托·墨索里尼的女婿。1939年，齐亚诺深信与德国一起进行战争是正确的行为，甚至为此精心设计了入侵希腊的计划。但计划失败以及后来战局的发展使他对与德国合作越来越不抱幻想，之后又与墨索里尼分道扬镳。 ;;;;;;;;;;X
NPERSONALITY_AUTARKIC;封闭经济的法西斯分子 ;;;;;;;;;;X
DPERSONALITY_AUTARKIC;贝尼托·墨索里尼是意大利政治家，国家法西斯党党魁，并被认为是法西斯主义的创始者。墨索里尼推动政府全面控制商业，到1935年，他宣布四分之三的意大利企业已经在国家控制之下。他同时试图使意大利成为一个自给自足的封闭经济国家，实行了除对德国外大部分国家的高关税壁垒政策。 ;;;;;;;;;;X
NPERSONALITY_PARIANI;战争部副部长 ;;;;;;;;;;X
DPERSONALITY_PARIANI;阿尔贝托·帕里亚尼是意大利将军。他参加了第一次世界大战，终战时他是第六阿尔卑斯军团(Alpini)指挥官。1934年到1936年，他担任总参谋部副主任，之后的三年他是意大利总参谋长和战争部副部长。 ;;;;;;;;;;X
NPERSONALITY_CAVAGNARI;老派海军上将 ;;;;;;;;;;X
DPERSONALITY_CAVAGNARI;多梅尼科·卡瓦那里是意大利海军上将。他于1934年成为意大利海军总参谋并随后成为管理海军事务的副国务卿。他的主要功绩是为意大利打造了一支强大的地中海海军，而未能引进海军航空兵实际上也是他的责任。同样，他反对使用雷达和航空母舰。 ;;;;;;;;;;X
NPERSONALITY_MUSSOLINI_FM;好斗的民族主义者 ;;;;;;;;;;X
DPERSONALITY_MUSSOLINI_FM;墨索里尼很快带动了外交政策从反帝国主义到侵略性的民族主义的转变。他梦寐以求的意大利是一个在欧洲乃至全世界范围内"伟大、受人尊重和敬畏的"国家。而他的在外交上的第一步似乎使他看上去像一名"外交家"。而在1935年加入反对德国的斯特雷萨阵线，使他的外交政策发生了戏剧性的转变，然而也再一次显露出他好斗的本质。 ;;;;;;;;;;X
NPERSONALITY_EMANUELEIII;意大利国王 ;;;;;;;;;;X
DPERSONALITY_EMANUELEIII;维托里奥·埃马努埃莱三世1900年父亲翁贝托一世遇刺后即位。他接受自由派内阁，默许对土耳其战争（1911～1912）和参加第一次世界大战。法西斯分子攫取政权后，他成为墨索里尼的傀儡。 ;;;;;;;;;;X
NPERSONALITY_ROATTA;黑兽 ;;;;;;;;;;X
DPERSONALITY_ROATTA;马里奥·罗阿塔是意大利将军，墨索里尼的政府部长，军事情报头子。二战期间罗阿塔是在南斯拉夫的第二意大利陆军司令和负责压制游击队领导的抵抗，他采取了“即决处决，劫持人质，报复，安葬和焚烧房屋和村庄”的策略。作为军队将军的领导，罗阿塔在1943年停战后，负责罗马的防务。 ;;;;;;;;;;X
NPERSONALITY_JUNG;意大利犹太财政部长 ;;;;;;;;;;X
DPERSONALITY_JUNG;圭多·荣格是一位意大利的政治家和商人。他是1932年墨索里尼政府的财政部长。荣格将军费从32％减少到25％，并增加大型公共工程建设的资金。 ;;;;;;;;;;X
NPERSONALITY_GUZZONI;阿尔弗雷多·古佐尼 ;;;;;;;;;;X
DPERSONALITY_GUZZONI;阿尔弗雷多·古佐尼是在第一次世界大战和二战的意大利军官。在1939年，在意大利入侵阿尔巴尼亚的行动，古佐尼表现突出，和1940年担任那里的统帅。1940年11月29日，古佐尼成功地接任参谋。1943年担任副秘书长，总干事指挥，古佐尼是西西里岛第六军和西西里岛的轴心国部队的指挥官。 ;;;;;;;;;;X
NPERSONALITY_GRAZIANI;埃塞俄比亚屠夫 ;;;;;;;;;;X
DPERSONALITY_GRAZIANI;鲁道夫.格拉齐亚尼，是意大利皇家军队的军官。他成为了殖民战争的专家指挥官。特别是他专门从事反游击作战。伊塔洛巴尔博元帅在1940年6月28日误伤事件死亡后，格拉齐亚尼取替了他的位置，作为意大利在北非和利比亚的总督。 ;;;;;;;;;;X
NPERSONALITY_AMBROSIOARMY;维托里奥.安布罗西奥 ;;;;;;;;;;X
DPERSONALITY_AMBROSIOARMY;维托里奥.安布罗西奥在意大利-土耳其战争，第一次世界大战，第二次世界大战期间担任意大利的将军。安布罗西奥在二战中的早期行动，包括领先于1941年在南斯拉夫的意大利进攻。他的快速征服得到墨索里尼欢迎。1942年1月，他被晋升为参谋长，后来在1943年2月获委任的意大利军队武装部队总参谋长。 ;;;;;;;;;;X
NPERSONALITY_STARACE;忠实的仆人 ;;;;;;;;;;X
DPERSONALITY_STARACE;阿希尔斯·塔拉切是一个战前和二战期间，法西斯意大利的杰出领导人。斯塔拉切在第一次世界大战期间的行动，为他赢得军事勇猛银色徽章。1931年，他的职业生涯达到顶峰时，他成为了PNF的党参谋。1939年10月，他成为国家安全志愿民兵参谋长，他一直担任上述职务直到在1941年5月因为不称职而被解雇。 ;;;;;;;;;;X
NPERSONALITY_MESSE;私人元帅 ;;;;;;;;;;X
DPERSONALITY_MESSE;乔瓦尼·梅塞是一个职业军人，他在二战期间赢得了意大利元帅军衔。在利比亚，第一次世界大战，第二次意大利和阿比西尼亚战争，希腊，意大利战争和第二次世界大战的征服，他是一位杰出的士兵。他还坚守他的国家和国王，在法西斯主义威胁要接管意大利的时候。他被许多人认为是第二次世界大战最好的意大利将军。 ;;;;;;;;;;X
NPERSONALITY_BASTIANINI;朱塞佩·巴斯提亚尼 ;;;;;;;;;;X
DPERSONALITY_BASTIANINI;朱塞佩·巴斯提亚尼是一位意大利的政治家和外交家。最初他是法西斯运动的强硬分子，他后来倾向成为持不同政见者。在20世纪30年代，他是驻波兰大使，因此，他帮助说服墨索里尼推迟参与第二次世界大战。他在1943年2月被任命为外交部副国务卿，有效地取代加利索齐亚诺。 ;;;;;;;;;;X
NPERSONALITY_GRANDII;迪诺·格兰迪 ;;;;;;;;;;X
DPERSONALITY_GRANDII;迪诺·格兰迪是意大利法西斯政客，司法部长，外交部长和议长。第二次世界大战爆发后，他一度反对参战。因意军在各战场节节败退，国内局势急剧恶化，自1942年起又力主意大利退出战争，与盟国单独媾和，导致和墨索里尼的冲突。1943年2月被解职后，积极策划反政府的密谋，1943年7月巴多里奥政变推翻墨索里尼统治后，一度拟任格兰迪为外交大臣，遭盟国激烈反对，未成。在同年7月24日 法西斯大委员会会议上提出将全权交与国王的动议（即格兰迪动议）。 ;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_HIROHITO;昭和天皇 ;;;;;;;;;;X
DPERSONALITY_HIROHITO;按照日本傳統順序，昭和天皇是日本第124位天皇。他的統治從1926年12月25日開始，包括了日本社會變化最大的時期。同時裕仁還是壹位海洋生物學家。 ;;;;;;;;;;X
NPERSONALITY_HIDEKI_G;剃刀東條 ;;;;;;;;;;X
DPERSONALITY_HIDEKI_G;東條英機是日本帝國陸軍大將（他在那兒被稱作"剃刀"），大政翼贊會黨首和度過了1941年10月17日至1944年7月22日這大部分二戰時期的日本首相。作為首相，他是珍珠港行動以及美日太平洋戰爭的直接責任人。他繼續在全國教育系統灌輸軍國主義和民族主義，並延續政府的極權主義政策。 ;;;;;;;;;;X
NPERSONALITY_HIDEKI_S;東條上等兵 ;;;;;;;;;;X
DPERSONALITY_HIDEKI_S;東條英機是日本帝國陸軍大將，擔任首相期間控制全日本的憲兵，打壓政見不同者和其他官僚。軍方大多數人對其非常不滿，德國元首也認為'東條能看好壹個倉庫就不錯了' ;;;;;;;;;;X
NPERSONALITY_OKADA;海軍總理;;;;;; ;;;;;;;;;;X
DPERSONALITY_OKADA;岡田啟介是日本帝國海軍的海軍上將，政治家，1934年7月8日至1936年3月9日期閑，第31任的日本首相。岡田曾經是反對軍國主義日益強大的民主派溫和聲音之壹，因此他成為日本極端勢力推動日本走向更為極權的主要目標。 ;;;;;;;;;;X
NPERSONALITY_KOKIFM;軍國主義的談判專家;;;;;; ;;;;;;;;;;X
DPERSONALITY_KOKIFM;廣田弘毅是日本外交家，政治家和1936年3月9日直到1937年2月2日第32屆日本首相。作為外長，廣田負責談判，從俄羅斯購買中國滿洲東部鐵路的利益。他還頒布了廣田三原則：中日親善。承認滿洲國。共同防止共產主義傳播。 ;;;;;;;;;;X
NPERSONALITY_KOTOHITO;王子傳令兵;;;;;; ;;;;;;;;;;X
DPERSONALITY_KOTOHITO;閑院宮載仁親王是閑院宮第六代當主，他是壹名職業軍人，從1931年到1940年載仁親王出任參謀總長。他於1894年畢業於陸軍參謀學院，專長是騎兵。他和新任命的戰爭部長，東條英機中將，支持日本帝國，納粹德國和法西斯意大利之間的三方契約。 ;;;;;;;;;;X
NPERSONALITY_SENJURO;越境將軍;;;;;; ;;;;;;;;;;X
DPERSONALITY_SENJURO;林銑十郎是日本帝國陸軍總司令，日本政治家從1937年2月2日到1937年6月4日擔任第33屆日本首相。林從1918年到1920年的第壹項任命是日軍第57步兵團，1921年派到技術研究總部作為壹個長效的軍事調查指揮官。從1921年到1923年，他是日本帝國陸軍學院預科的頭子，其余時間是軍事訓練的總督察。 ;;;;;;;;;;X
NPERSONALITY_FUMINARO;軍國主義的創始人;;;;;; ;;;;;;;;;;X
DPERSONALITY_FUMINARO;近衛文麿是日本帝國的政治家，第34、38、39任內閣總理大臣和大政翼贊會的創始人/領導人。1937年6月，近衛文麿成為日本首相。了西園寺推薦近衛文麿給天皇裕仁，盡管他擁有壹定猶豫，他仍然覺得，王子可保持日本皇軍在保護皇帝的位置。他上臺壹個月後，日本軍隊和中國軍隊在北京附近的盧溝橋發生沖突，史稱盧溝橋事變。 ;;;;;;;;;;X
NPERSONALITY_HIRANUMA;司法官;;;;;; ;;;;;;;;;;X
DPERSONALITY_HIRANUMA;平沼騏壹郎在1939年5月1日至1939年8月30日1939年任內閣總理大臣。他強烈反對首相若槻禮次郎在經濟改革的努力。他還強烈反對批準1930年倫敦海軍條約，作為首相，他的政府被日本應該與納粹德國結盟，以消除蘇聯對日本構成的威脅的辯論所主導。平沼希望達成反共協議，但擔心軍事聯盟將導致美國和英國對日本發動戰爭。 ;;;;;;;;;;X
DPERSONALITY_HIRANUMAMOS;平沼騏壹郎男爵是壹個突出的二戰前日本右翼政客。平沼在他的時間建立的聲譽，源於在司法部強烈反對政府的貪汙，並成功地處理了壹些高調案件。擔任部長時，他建立了思想警察，以打擊共產主義，社會主義，他認為顛覆意識形態的傳播推廣。 ;;;;;;;;;;X
NPERSONALITY_NOBUYUKI;朝鮮總督;;;;;; ;;;;;;;;;;X
DPERSONALITY_NOBUYUKI;阿部信行是日本帝國陸軍大將，朝鮮總督，從1939年8月30日至1940年1月16日擔任第36屆日本首相。阿部信行在1939年8月30日就任首相。他同時他在任期期間擔任外長。在他短短的四年任期內，阿部信行尋求迅速結束第二次中日戰爭，並維持日本在不斷增長的歐洲沖突中的中立性。他還反對由軍隊內部，對於支持形成壹個與納粹德國和法西斯意大利的政治軍事同盟的努力。 ;;;;;;;;;;X
NPERSONALITY_KAZUE;勝田主計頭;;;;;;; ;;;;;;;;;;X
DPERSONALITY_KAZUE;勝田主計是日本在明治，大正時期的政治家。他於1895年畢業於東京帝國大學，並獲得了財政部的職位。他於1915年，晉升到銀行，被選為主任的位置。在寺內和清浦主管部門，他被任命為財政部長，下田中政府教育部長。1938年，他擔任第二近衛管理的內政部長壹職。 ;;;;;;;;;;X
NPERSONALITY_SHIGEMITSU;重光三羽烏 ;;;;;;;;;;X
DPERSONALITY_SHIGEMITSU;重光葵1911年從帝國大學畢業後便任職於外務省，1929年起歷任日本駐上海總領事，日本駐中國大使，1932年在上海虹口公園爆炸案被炸斷右腿，後任滿洲國副總理、駐英國大使，汪精衛南京政府大使等職，1943年任外相。 ;;;;;;;;;;X
NPERSONALITY_SESSHO;攝政王  ;;;;;;;;;;X
DPERSONALITY_SESSHO;雍仁，或稱呼他更廣為人知的皇室頭銜秩父宮親王。他是大正天皇的第二個兒子，也是昭和天皇的皇弟。他的皇兄昭和被刺殺後，他作為他侄子明仁天皇的攝政，擔任攝政王。然而，他和皇道派等激進軍事團體聯系緊密，給了他很多支持並加大了對日本軍隊的控制。但是，因為他不是天皇，所以他沒有神壹樣的權威，也無法獲得日本國民的忠誠。  ;;;;;;;;;;X 
NPERSONALITY_GOMEIJI;後明治天皇  ;;;;;;;;;;X
DPERSONALITY_GOMEIJI;日本第126任天皇，雖然他原本是要作為他的侄子明仁的攝政，但秩父宮親王在皇道派的支持下，挾退他的侄子，由自己當上天皇。現在他的上位意味著明治維新以來的第二次王政復古，雍仁天皇將用全部神壹樣的權力和天皇的權威進壹步奪取日本帝國在亞洲的目標。  ;;;;;;;;;;X
NPERSONALITY_CRAZY_GUNNIN_ARMY;狂熱的軍國主義軍官（Army） ;;;;;;;;;;X
DPERSONALITY_CRAZY_GUNNIN_ARMY;自出生開始即被教授“忠君愛國”的軍國主義軍官對天皇陛下效忠，同時對皇國陸軍充滿盲目的自信。 ;;;;;;;;;;X
NPERSONALITY_CRAZY_GUNNIN_NAVY;狂熱的軍國主義軍官（Navy） ;;;;;;;;;;X
DPERSONALITY_CRAZY_GUNNIN_NAVY;自出生開始即被教授“忠君愛國”的軍國主義軍官對天皇陛下效忠，同時對皇國海軍充滿盲目的自信。 ;;;;;;;;;;X
NPERSONALITY_YAMAMOTO;聯合艦隊司令長官 ;;;;;;;;;;X
DPERSONALITY_YAMAMOTO;山本五十六1916年畢業於日本海軍大學校，曾於1919年到1921年在美國哈佛大學學習。歷任駐美武官、第1航空戰隊司令、海軍航空本部長、海軍次官。大力發展航空母艦和艦載飛機，並組織部隊進行嚴格訓練，對日本海軍航空兵的發展起了重要作用。1939年任日本聯合艦隊司令。是日本海軍中，反對加入軸心國的高級軍官，反對日本對外發動侵略戰爭，但在日本右翼勢力龐大的壓力和日軍高層的壓力下最終被迫對美宣戰，以“珍珠港奇襲”先發制人，名聲大噪，聯合艦隊海軍官兵親切地稱呼他為“聯合艦隊司令長官”。山本嗜賭如命，不過這次他賭的是日本的國運。 ;;;;;;;;;;X
NPERSONALITY_NAGUMO;艦隊提督 ;;;;;;;;;;X
DPERSONALITY_NAGUMO;南雲忠壹畢業於海大，是聯合艦隊的雷擊戰專家、航海專家。在歷史中，雖於中途島壹役由於偵察原因，致使聯合艦隊四艘主力空母沈沒，但其指揮並無明顯失誤，仍不失為壹位合格的艦隊司令官。 ;;;;;;;;;;X
NPERSONALITY_OZAWA;馬裏亞納戰術天才 ;;;;;;;;;;X
DPERSONALITY_OZAWA;小澤治三郎是日本海軍第壹機動艦隊司令，並統帥艦隊參與菲律賓海海戰，他也是最後壹任聯合艦隊司令長官。小澤治三郎中將以冷靜沈著著稱，是日本海軍首屈壹指的航空戰專家。以航母為中心的特混攻擊艦隊正是小澤中將的首創。而其提出的史無前例的超距離作戰也是航空作戰的奇跡。 ;;;;;;;;;;X
NPERSONALITY_TSUGAHARA;獨臂海航指揮官 ;;;;;;;;;;X
DPERSONALITY_TSUGAHARA;冢原二三四與南雲忠壹是同期（海大36期）畢業的海軍軍官，儘管排名不如南雲，但若比起航空戰，冢原有二十多年的航空作戰指揮經驗，所以他遠比半路出家——水雷戰隊出身的南雲更適合擔任機動艦隊指揮官。1939年10月3日，重組的第1聯合航空隊冢原的首腦部，受到了蘇聯援華航空隊的奇襲轟炸，冢原左手被炸斷，上艦勤務困難。 ;;;;;;;;;;X
NPERSONALITY_KUSAGARI;航空戰明亮的人物 ;;;;;;;;;;X
DPERSONALITY_KUSAGARI;草鹿龍之介是海兵學校41期畢業。是日本帝國海軍中將。聯合艦隊參謀長、武道家（壹刀正伝無刀流劍術第4代宗家）。當時海軍內由對他「航空戰明亮的人物」高度評價、與山口多聞被認為是日本海軍最有前途的軍事將領。戰時任南雲忠壹的參謀長，親自率航空隊發起珍珠港奇襲。作為古代武術流派傳人的草鹿，實戰也有著如果攻擊就應該不留退路的理念。在珍珠港奇襲作戰中，他贊成第二波攻擊，但反對進行第三波攻擊。 ;;;;;;;;;;X
NPERSONALITY_HORI;海軍樞密使 ;;;;;;;;;;X
DPERSONALITY_HORI;堀悌吉，聯合艦隊海軍中將。海軍兵學校32期次席畢業，山本五十六的同期同學與好友，歷任陸奧艦長、海軍省軍務局長、第3戰隊和第1戰隊司令長官，也是條約派代表人物和中堅，所以經常遭到艦隊派的無情攻擊。據說山本對他推崇備至“堀悌吉的退役相當於日本海軍損失了壹隻巡洋艦隊”。在歷史上，作為條約派軍官，他被伏見宮博恭王彈劾而轉入預備役，投入公司運作當中。在德國幹涉與山本五十六的推薦下，堀悌吉出任聯合艦隊司令長官，他依靠精明的商業頭腦，發現日本的致命缺點——匱乏的資源。於是以“做生意”的方式斡旋與德美之間。  ;;;;;;;;;;X
NPERSONALITY_HORI_G;海軍之逸材 ;;;;;;;;;;X
DPERSONALITY_HORI_G;堀悌吉是條約派代表人物和中堅，海軍兵學校32期次席畢業，山本五十六的同期同學與好友，據說山本對他推崇備至。在歷史上，作為條約派軍官，他被伏見宮博恭王彈劾而轉入預備役，投入公司運作當中。在德國幹涉與山本五十六的推薦下，堀悌吉出任聯合艦隊司令長官，他依靠精明的商業頭腦，發現日本的致命缺點——匱乏的資源。於是以“做生意”的方式斡旋與德美之間。在取得太平洋、印度洋壹系列戰役勝利後，堀悌吉威望大漲，更甚昔日山本五十六。為了日本的變革與未來，他毅然發動兵變，親自擔任日本首相。  ;;;;;;;;;;X
NPERSONALITY_UGAKI;黃金假面 ;;;;;;;;;;X
DPERSONALITY_UGAKI;宇垣纏是陸軍大將宇垣壹成、海軍中將宇垣完爾的遠親，海軍兵學校第40期出身（畢業時在144名同學中名列第9）。歷任軍令部參謀、駐德國海軍副武官、第5艦隊參謀、第2艦隊參謀、海大教官、聯合艦隊參謀、海防艦八雲艦長、戰艦日向艦長、軍令部作戰部少將長，鼓動簽訂法西斯軸心國三國條約。是山本五十六最鐘愛也是最信任的參謀。在中途島作戰前的圖上演習上，他擅自變更演習結果，把四艘航母被擊沈變成壹艘擊沈，三艘受傷。 ;;;;;;;;;;X
NPERSONALITY_ONISHI;修羅外道 ;;;;;;;;;;X
DPERSONALITY_ONISHI;大西瀧治郎是海軍兵學校40期，歷任第1航空艦隊長官、軍令部次長等職。航空兵制勝的鼓吹者，“神風特攻隊”創始者，在日本軍界有“修羅外道”之稱。在萊特灣作戰中，大西負責掩護栗田艦隊，但實力薄弱的大西知道這是不可能完成的任務，唯有擊沈美軍航空母艦，達到壹機換壹艦的目標，方有勝算。 ;;;;;;;;;;X
NPERSONALITY_FUSHIMINOMIYA;軍令部親王總長 ;;;;;;;;;;X
DPERSONALITY_FUSHIMINOMIYA;伏見宮博恭王是日本皇族，伏見宮貞愛親王長子。太平洋戰爭前任海軍軍令部總長，和東鄉平八郎並列為艦隊派的總後臺。1922年成為海軍大將。1932年進入元帥府。第二年接替條約派的谷口尚真出任海軍軍令部長，和總參謀長閑院宮載仁親王対掌海陸兩軍。任內，撕毀倫敦海軍條約，逼迫海軍大臣大角岑生將作戰指揮權從海軍省轉移給軍令部，解除大批條約派的海軍將領，推動日德海軍合作，逼迫海軍同意對美開戰。1941年開戰前夕，昭和天皇顧慮勝敗難測，害怕最後追究皇族的責任，讓其隱身幕後，把其代理人島田繁太郎推上前臺。 ;;;;;;;;;;X
NPERSONALITY_YAMAMOTOMINAINOUE;山本-米內-井上鐵三角 ;;;;;;;;;;X
DPERSONALITY_YAMAMOTOMINAINOUE;山本五十六、米內光政、井上成美。米內光政曾參加對馬海戰。歷任艦隊參謀長、第3、第2艦隊司令長官、佐世保及橫須賀鎮守府司令等職。1936年任日本聯合艦隊司令兼第1艦隊司令。1937年4月晉大將。同年2月至1939年8月任海軍大臣。綽號金魚大臣。出兵上海和海南島的關鍵人物。1940年1月任日本第37屆首相，與山本五十六和井上成美組成穩定鐵三角，反對與德意結軍事同盟，被陸軍視為親英美派，同年7月被迫辭職。 ;;;;;;;;;;X
NPERSONALITY_HIKASHI;皇族參謀總長 ;;;;;;;;;;X
DPERSONALITY_HIKASHI;陸軍參謀總長東久邇稔彥是東久邇宮稔彥王，日本皇族，陸軍大將，唯壹的皇族首相。久邇宮朝彥親王第九子，昭和天皇的叔叔。作為第二軍司令官參加了徐州會戰和武漢會戰。後來成為日本本土防衛軍總司令。1945年8月15日天皇廣播投降詔書後，由於他的皇族地位加上他的陸軍大將銜，能夠控制住當時日本的局勢，因此東久邇宮便成了日本第壹位皇族首相。 ;;;;;;;;;;X
NPERSONALITY_ISHIKAWA;日本第一兵家 ;;;;;;;;;;X
DPERSONALITY_ISHIKAWA;石原莞爾是陸大30期次席畢業。畢業後留學德國，通讀克勞塞維茨《戰爭論》。著作《最終戰爭論》，石原認為未來世界的沖突是東方文明和西方文明的沖突，作為東方文明代表的日本不可避免地要和作為西方文明代表的美國要進行壹場所謂“最終的戰爭”，以此來決定人類社會的走向。有日本第壹兵家之稱。他支持關東軍發動的九壹八事變和侵占滿洲，後提出“滿蒙生命線論”，確保日本後方戰略基地。由於其獨到的戰略眼光，在保守的日本陸軍中被視為“異類”，深受冷落。 ;;;;;;;;;;X
NPERSONALITY_KUROSHIMA;仙人參謀 ;;;;;;;;;;X
DPERSONALITY_KUROSHIMA;黑島龜人於江田島海軍兵學校第38期畢業，入學成績100名中排名60，畢業時100名中排30。加上他第38期海大畢業的學歷，使得黑島龜人成為了日本海軍的壹員精英參謀，得到了山本五十六的極大欣賞，作為山本五十六最信任的參謀，黑島龜人堪稱山本的左右手。黑島從不洗澡，從不換軍服，身上和艙房散發著壹股臭味，房間裏散滿了紙片，只有在這樣的環境下，黑島才能思考。珍珠港奇襲，比基尼島攻略，錫蘭島空襲等等都是他制定的。但因其制定的中途島作戰方案太過復雜而廣受後人詬病。山本五十六死後，黑島備受冷落，地位壹落千丈。 ;;;;;;;;;;X
NPERSONALITY_UMEZU;石頭人 ;;;;;;;;;;X
DPERSONALITY_UMEZU;梅津美治郎畢業於陸軍士官學校第15期、陸大第23期，他壹生從不寫日記，甚至從不留下任何書面的東西。囂張高傲是軍國分子的共性，但梅津很少外露。也因此，梅津美治郎最終當上參謀總長，成為日本陸軍第壹人。 ;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
NPERSONALITY_CHURCHILL;斗牛犬 ;;;;;;;;;;X
DPERSONALITY_CHURCHILL;温斯顿·伦纳德·斯宾塞-丘吉尔爵士担任过许多政治和内阁职位。他曾在阿斯奎斯的自由党内阁中担任过贸易大臣，内政大臣和海军大臣。他不但是一位著名的政治家和演说家，而且是一名英国陆军军官，历史学家，作家和艺术家。1940年5月13日丘吉尔在下院发表首相就职演讲：‘我所能奉献的，只有热血和辛劳，眼泪和汗水。’  ;;;;;;;;;;X
NPERSONALITY_BALDWIN;有辜者 ;;;;;;;;;;X
DPERSONALITY_BALDWIN;斯坦利·鲍德温是英国保守党政治家，党首以及英国首相。他本质上是一个一国保守主义者。第二次世界大战的爆发使他的公众形象恶化。无论如何，他与张伯伦和麦克唐纳都应当为英国在1939年贫乏的军事准备负责。 ;;;;;;;;;;X
NPERSONALITY_CHAMBERLAIN;安抚者 ;;;;;;;;;;X
DPERSONALITY_CHAMBERLAIN;内维尔·张伯伦是英国保守党政治家，并在1937年 五月至1940年五月担任英国首相。张伯伦以他的绥 靖政策而出名，尤其是1938年他对慕尼黑协定的签 署，承认了德国对捷克斯洛伐克的苏台德区的合法 领有。 ;;;;;;;;;;X
NPERSONALITY_SINCLAIR;Quex ;;;;;;;;;;X
DPERSONALITY_SINCLAIR;海军上将休·辛克莱爵士是一名英国情报军官。1919年至1921年，他担任英国海军情报部长，并在二战爆发前协助建立秘密情报局(SIS，俗称军情六处MI6)。1938年，随着二战迫在眉睫，他创立了Ｄ机关用于破坏活动。在1938年春，他用自己的钱买下了布莱切利公园作为战时情报站。 ;;;;;;;;;;X
NPERSONALITY_HALIFAX;绥靖主义者 ;;;;;;;;;;X
